"","airport","max_T","min_T","diff_max_T","diff_min_T","Quality"
"179","KGUS",80,57,4.120053262,7.430850173,0.742857143
"180","KHIB",82,53,-4.191448262,-3.481092898,0.9
"181","KHMN",91,63,3.359165641,6.446328148,0.771428571
"182","KHOU",93,75,0.410157094,0.608672006,0.95
"183","KHSV",97,75,-5.875914707,-3.433700852,0.9
"184","KHTS",77,65,9.705428767,1.315694989,0.9
"186","KIAH",93,75,-0.23903235,1.323028545,0.95
"187","KICT",91,74,5.323456953,-1.70230373,0.95
"188","KIND",78,59,8.665936601,10.11883109,0.95
"189","KJAN",94,76,-2.61886907,-3.455153868,0.75
"190","KJAX",96,73,-5.086050814,-0.613628471,0.95
"191","KJFK",86,70,-0.711939773,0.950957909,0.85
"192","KJLN",90,73,3.43466956,-2.521788108,0.9
"193","KLAS",96,75,9.2733789455561,8.87760004068693,0.95
"194","KLAX",73,62,0.843081023,1.945261632,0.95
"195","KLBB",88,70,6.028646085,-0.480559414,0.9
"196","KLCK",80,62,6.351519301,5.596401159,0.85
"197","KLEX",82,66,5.284578606,1.182681816,0.85
"198","KLFI",82,71,4.872344797,2.06452084,0.842857143
"199","KLFT",95,75,-3.63593446356039,-0.215672170554484,0.85
"200","KLGA",86,72,0.564525212,0.640889902,0.95
"203","KLUF",102,84,3.73726814431002,0.4282444369112,0.778571428571429
"204","KMBS",84,62,-1.900278527,0.695746444,0.95
"205","KMCF",95,77,-4.22931957363582,-2.26676887308729,0.9
"206","KMCI",90,69,-0.604408815366583,0.189841902326421,0.85
"207","KMCO",97,74,-5.098879822,0.116571728,0.85
"208","KMDW",81,65,5.46360661497012,5.21521959178546,0.8
"210","KMGE",93,73,-4.59837199299207,-1.83305276591227,0.9
"211","KMGM",94,76,-0.128923650453672,-3.0448356287567,0.9
"212","KMHT",89,63,-5.09294524746872,3.24140245174172,0.9
"216","KMLU",93,75,0.876150674731321,-1.19072886580473,0.95
"217","KMOB",94,71,-2.719735332,1.807537371,0.9
"219","KMSP",82,67,3.043635973,-0.416141546,0.9
"222","KOAK",74,61,-2.546505728,-5.19499085,0.95
"223","KOKC",90,73,8.287371746,0.003791379,0.9
"227","KPAM",91,75,-3.73350368162443,0.477648241713226,0.785714285714286
"234","KPIT",83,63,0.541707713622515,2.17280964538512,0.9
"236","KRDU",91,72,0.492450011383056,0.0490072469057026,0.95
"238","KRIC",78,70,12.8002577711501,2.36851484186442,0.9
"239","KRND",91,72,3.35274741234178,1.14508094917127,0.9
"241","KROA",85,70,2.42170759955418,-1.04937405598393,0.85
"249","KSDF",87,67,3.329767399,4.476529686,0.9
"251","KSFB",96,75,-3.75336406929796,0.161599536972147,0.8
"254","KSHV",94,76,1.3140368936667,-0.906099606716111,0.9
"259","KSNA",76,63,4.021209822,3.393861283,0.95
"263","KSSC",99,75,-6.73052991260964,-2.36701267859554,0.9
"264","KSTL",94,73,-2.515613042841,-0.425337531258805,0.95
